free_text,label_id,category,source
"That morning, just me and you",0,Other,olm
With azure views for two,0,Other,olm
Our promises bound by sights we long outgrew,0,Other,olm
A curtain dyed shades unlaid by morning sun A weeping window wails for days come undone,0,Other,olm
A curtain dyed shades unlaid by morning sun,0,Other,olm
A weeping window wails for days come undone,0,Other,olm
"If I live to be a weathervane Always pointing off, away, to lead you 'long the flyway Turned to face this side of you Would it be enough for me to lead your way?",0,Other,olm
If I live to be a weathervane,0,Other,olm
"Always pointing off, away, to lead you 'long the flyway",0,Other,olm
Turned to face this side of you,0,Other,olm
Would it be enough for me to lead your way?,0,Other,olm
I'll stay afraid in weekday (Come what may) I reach for what remains,0,Other,olm
I'll stay afraid in weekday,0,Other,olm
(Come what may),0,Other,olm
I reach for what remains,0,Other,olm
"Didn't you see the news today? I heard they said it looked like rain All the words I left unsaid that day Stained the sidewalk drop by drop with gray, oh Rain or shine, I'm by your side So why won't you look my way? The weather forecast's calling for another cloudy day",0,Other,olm
Didn't you see the news today?,0,Other,olm
I heard they said it looked like rain,0,Other,olm
All the words I left unsaid that day,0,Other,olm
"Stained the sidewalk drop by drop with gray, oh",0,Other,olm
"Rain or shine, I'm by your side",0,Other,olm
So why won't you look my way?,0,Other,olm
The weather forecast's calling for another cloudy day,0,Other,olm
"That evening, just me and you Through rosy tinted hues A promise of fairer winds that never blew",0,Other,olm
"That evening, just me and you",0,Other,olm
Through rosy tinted hues,0,Other,olm
A promise of fairer winds that never blew,0,Other,olm
Vermilion claims to say the sun will stay And yet my heart holds close the storm as it breaks,0,Other,olm
Vermilion claims to say the sun will stay,0,Other,olm
And yet my heart holds close the storm as it breaks,0,Other,olm
"I could live to be a hurricane Turn into a tempest, violent, silent in the eye All whirling, gusting, wuthering Could it be enough to change the way you use my name?",0,Other,olm
I could live to be a hurricane,0,Other,olm
"Turn into a tempest, violent, silent in the eye",0,Other,olm
"All whirling, gusting, wuthering",0,Other,olm
Could it be enough to change the way you use my name?,0,Other,olm
Remain in weekday (I'm okay) I stay for all that aches,0,Other,olm
Remain in weekday,0,Other,olm
(I'm okay) I stay for all that aches,0,Other,olm
"Didn't you see the news today? I heard they said it looked like rain All the words I left unsaid that day Stained the sidewalk drop by drop with gray, oh Rain or shine, my heart won't dry So why can't I look away? The weather forecast's calling for another cloudy day",0,Other,olm
"Rain or shine, my heart won't dry",0,Other,olm
So why can't I look away?,0,Other,olm
"Didn't you see the news today? I heard they said it looked like rain All the words I left unsaid that day Stained the sidewalk drop by drop with gray, oh Rain or shine, I'm by your side So why won't you look my way? The weather forecast's calling for another",0,Other,olm
The weather forecast's calling for another,0,Other,olm
"Didn't you see the news today? I heard they said it looked like rain All the words I left unsaid that day Stained the sidewalk drop by drop with gray, oh Vivid skies may pass me by But even still, I'll stay The weather forecast's calling for another cloudy day",0,Other,olm
Vivid skies may pass me by,0,Other,olm
"But even still, I'll stay",0,Other,olm
"Look through me, a windowpane Colored as a sky entirely filled with clouds, I might be Everything that I can be If it's not enough, I trust the sky will open up Someday, someday, someday",0,Other,olm
"Look through me, a windowpane",0,Other,olm
"Colored as a sky entirely filled with clouds, I might be",0,Other,olm
Everything that I can be,0,Other,olm
"If it's not enough, I trust the sky will open up",0,Other,olm
"Someday, someday, someday",0,Other,olm
write a paragraph about one of the most pleasant experiences,0,Other,olm
giới thiệu những nét về chính trị của mỹ sau cách mạng tháng 8 năm 1945,0,Other,olm
They bought this house ten years ago,0,Other,olm
They have _______________________________________________________,0,Other,olm
(2√x -4)/(√x+1) tìm giá trị nhỏ nhất,0,Other,olm
T thề luôn t chx gặp chương trình học nào hay như Olm lun ý Olm tuyệt nhất rùiiiiiiii ;>,0,Other,olm
Làm gì để kiếm đc xu coin vậy Mn?,0,Other,olm
Di truyền nghĩa là sao,0,Sinh học,olm
hãy viết 1 bài nghị luận về giá trị của cuộc sống,0,Ngữ văn,olm
